titulo,subtitulo,primer_parrafo,seccion
Una ciencia justa e igualitaria es también soberanía,Día Internacional de la Mujer y la Niña en la Ciencia,,Sociedad
Veredicto de culpabilidad en el crimen de Lucio,La mamá y su pareja enfrentaban cargos por homicidio triple y doblemente agravado,"""El sistema le ha fallado a Lucio en muchos aspectos --sostuvo Silvia Gómez, la abuela de Lucio Dupuy al finalizar la audiencia donde se conoció la sentencia del juicio por el asesinato del niño--. No queremos que haya otro Lucio en el mundo, ahora luchamos por eso” explicó luego de conocer el veredicto que leyó este mediodía, la presidenta del Tribunal de Audiencias pampeano, Alejandra Ongaro, en la ciudad de Santa Rosa. El llanto de Chrístian Dupuy, el padre del Lucio, humanizaba la escena en la Sala de Audiencias de esta Ciudad Judicial. Mientras las dos acusadas escuchaban el veredicto en modo virtual, desde el penal de San Luis donde están detenidas. ",Sociedad
"Arañas gigantes en Pinamar: qué son las ""sparassidae"" y dónde hay en Argentina",La especie se volvió viral en las redes sociales,"Una mujer se volvió viral este martes luego de que publicara la foto de una araña gigante que se encontró en el lugar que eligió para pasar las vacaciones, en la ciudad balnearia de Pinamar.",Sociedad
Alarma: más del 35% de los humedales del mundo desaparecieron en los últimos 50 años ,Día Mundial de los Humedales,"Más del 35 por ciento de los humedales del mundo desaparecieron en los últimos 50 años, informó la ONG Fundación Humedales (Wetlands International), en un estudio difundido este miércoles en el marco del Día Internacional de los Humedales.  ",Sociedad
Aumentó Spotify: cuál es el precio con impuestos que se pagará en Argentina,La empresa reportó 456 millones de usuarios activos mensuales,"Spotify es el servicio de streaming de música, audiolibros y podcast más elegido por usuarios alrededor del mundo. A finales del año pasado, el CEO de la plataforma, Daniel Ek, había anunciado que para 2023 habría aumentos en todos sus planes.",Sociedad
"La historia de Ramón Carrillo, el ""negrocirujano"" que será la cara de los billetes de dos mil pesos",El hombre que revolucionó la salud pública,"“Mire Carrillo, me parece increíble que tengamos un Ministerio de Ganadería para cuidar a las vacas y que no haya un organismo de igual jerarquía para cuidar la salud de la gente”. El comentario mordaz de Juan Perón será el preámbulo de una política de Estado inédita en materia de Salud, cuando en 1946 una insignificante Dirección Nacional sea convertida en Secretaría de Salud Pública y, tras la reforma constitucional de 1949, en Ministerio, al frente de los cuales el Presidente designará a Ramón Carrillo. La decisión resultará estratégica. Santiagueño de vieja cepa, este brillante neurocirujano –soy ‘negrocirujano’, se autodefinía con sorna– fundará las bases de la medicina preventiva mediante un plan integral que ubicó a la Argentina en la vanguardia de las naciones más avanzadas en la materia; como parte de los Planes Quinquenales abarcó la totalidad del territorio, contemplando sus características culturales y geo-climáticas para trazar un preciso mapa sanitario del país. Uno de sus más célebres discípulos, Raúl Matera, sostenía al respecto: “Desde su labor ministerial, puede dividirse la política nacional sanitaria en dos épocas: antes y después de Carrillo”.",Sociedad
Netflix: cómo es el nuevo plan para evitar las cuentas compartidas,La persecución a los usuarios,"Netflix comenzó a testear un nuevo método para frenar el uso compartido de cuentas, objetivo que viene persiguiendo desde hace tiempo sin éxito. La prueba se realiza en Chile, Perú y Costa Rica.",Sociedad
Ley Lucio: en qué consiste el proyecto que busca prevenir el maltrato infantil ,A raíz del caso del niño de 5 años asesinado en La Pampa,"El pasado jueves 26 de enero se oficializó la incorporación de la Ley Lucio en el temario de las sesiones extraordinarias del Congreso nacional. El proyecto de capacitación obligatoria en los tres poderes del Estado para la detección temprana de violencia infantil fue impulsado a raíz del caso de Lucio Dupuy, el niño que fue presuntamente asesinado en La Pampa por su madre, Magdalena Espósito Valenti, y su pareja, Abigail Páez.",Sociedad
"Juicio Lucio Dupuy: qué es reclusión perpetua, cuántos años son y libertad condicional",La madre y la pareja fueron declaradas culpables de homicidio,"Los jueces del Tribunal de Santa Rosa, La Pampa, Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora declararon culpables de homicidio triple y doblemente agravado a Magdalena Espósito y Abigail Pérez, la madre de Lucio Dupuy, el niño de 5 años asesinado, y su pareja, que también fue declarada culpable por el delito de abuso sexual con acceso carnal agravado por ser su ""guardadora"" y por haber sido contra un menor. La única pena posible para esos delitos es la reclusión perpetua: qué es, cuántos años son y libertado condicional y cuándo se conocerá la sentencia.",Sociedad
Juicio por el crimen de Lucio Dupuy: las dos acusadas son culpables ¿cuándo y a qué hora se conocerá la sentencia?,Homicidio agravado y abuso sexual,"La Justicia de La Pampa resolvió este jueves que Magdalena Espósito Valenti y su pareja Abigail Páez son culpables de asesinar al menor Lucio Dupuy, de 5 años. Si bien aún no se leyó la sentencia, que se dará a conocer el 13 de febrero, la única pena prevista para este delito es la prisión perpetua. ",Sociedad
Juicio Lucio Dupuy: cuándo se van a conocer las penas,La madre del niño y su pareja fueron declaradas culpables,"El Tribunal de Santa Rosa —conformado por los jueces Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora— declaró a Magdalena Espósito Valenti, madre de Lucio Dupuy,  y su pareja, Abigail Páez, son culpables . A la primera la responsabilizaron de ""homicidio calificado"" mientras que a la segunda le sumaron también el delito de ""abuso sexual ultrajante"". Las penas se darán a conocer el 13 de febrero.",Sociedad
Alerta del SMN por fuertes lluvias y  tormentas en la Costa Atlántica,Se pronostican precipitaciones de hasta 45 milímetros,"El Servicio Meteorológico Nacional (SMN) emitió alertas amarillas por temperaturas extremas para algunas zonas de Misiones, Corrientes, Chaco, Santa Fe, Neuquén, Río Negro, Chubut, Santa Cruz y Tierra del Fuego; mientras que rige otro alerta por lluvias y tormentas para las provincias de Jujuy, Salta, Tucumán, Santiago del Estero, Catamarca, La Rioja y Buenos Aires.",Sociedad
Censo 2022: los 5 datos curiosos de la población de Argentina,El INDEC dio a conocer los datos,"Los datos provisorios del Censo 2022, que se difundieron oficialmente este martes, permite obtener algunos datos curiosos de la distribución de la población en la Argentina: los distritos menos poblados, aquellos que fueron censados por primera vez, cuántas personas viven en la Antártida, dónde hay más mujeres que hombres y más viviendas particulares por cantidad de habitantes.",Sociedad
Crónica de un día con cipayos  ,,"La 7ª Marcha al controvertido lago, y territorio, en la Provincia de Río Negro, adonde asistieron centenares de personas de una docena de provincias, incluso muy lejanas, resultó sorpresiva en varios sentidos.",Sociedad
Caso Lucio Dupuy: declaran culpables a la madre y su novia,Juicio por el crimen del nene de 5 años en La Pampa,"Este jueves se conoció el veredicto del juicio por el crimen de Lucio Dupuy, el nene de 5 años que murió en La Pampa el 26 de noviembre de 2021 tras recibir una fuerte golpiza.",Sociedad
Efemérides de hoy: qué pasó un 2 de febrero,Hechos que ocurrieron en la Argentina y el mundo,En las efemérides del 2 de febrero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:,Sociedad
Alerta por la presencia de una babosa tóxica en las playas de Gesell y Pinamar,La Pleurobranchaea maculata libera toxinas que pueden ser mortales para los animales que las comen,"Vómitos, ataxia, convulsiones y temblores. Si un perro muestra este tipo de síntomas poco después de haber ido a la playa, hay que preocuparse: puede ser señal de una intoxicación mortal. Cuadros así se han visto recientemente por Villa Gesell y Pinamar y están asociados a la ingesta de un pequeño organismo marino conocido como “babosa moteada”.",Sociedad
Ocho de cada diez residentes de la ciudad de Buenos Aires sufrió alguna afección auditiva  ,La contaminación acústica es un serio problema en las grandes urbes,"Al menos ocho de cada 10 personas que residen en la Ciudad de Buenos Aires refieren haber padecido algún efecto adverso a causa del ruido, y otros ocho de cada 10 afirman haber tenido que interrumpir alguna actividad diaria por ruidos molestos, según aseguró la jefa del sector de Audiología del Hospital de Clínicas, Mirta Sterin, quien indicó se trata de una problemática común a las grandes urbes.“El ruido es un contaminante ambiental que se convierte en un factor de riesgo para la salud auditiva. El impacto negativo que el ruido tenga en nuestra audición depende de la combinación de tres factores: duración, frecuencia e intensidad del estímulo. De aquí el impacto del ruido ambiental presente en las grandes ciudades, ya que como ciudadanos estamos expuestos a altas intensidades de ruido durante tiempos muy prolongados”, explicó Sterin en un comunicado difundido por el Clínicas.Según la OMS, el ruido es altamente perjudicial y es el factor ambiental que provoca más alteraciones en la salud después de la contaminación atmosférica.Entre los principales problemas que conlleva se incluyen los relacionados a la pérdida de audición (sensación de “oído ocupado o tapado”, zumbidos y disminución de la sensibilidad auditiva), factores psicológicos (estrés, ansiedad, irritabilidad y depresión) y fisiológicos (alteración de la frecuencia cardíaca y respiratoria, afectaciones de sueños y partos prematuros).Según informó el centro de salud, la encuesta --que fue realizada por la Fundación Ciudad-- también arrojó que el ruido impacta en la calidad de vida general (84%), en el humor y el estado de ánimo (87%) y en la salud física (73%) de las personas.Además, la contaminación sonora está entre los cinco principales problemas mencionados por las personas que residen en la ciudad y la opinión mayoritaria es que se trata de un problema en aumento.En cuanto al resto del país, Sterin señaló: “Si bien es evidente que la Ciudad de Buenos Aires se destaca entre las demás, no hay estadísticas concretas sobre el nivel de ruido existente en otras partes de Argentina"".No obstante, aclaró que ""sí se establece una relación entre el alto componente de ruido y la urbanización, por lo que podríamos pensar que siguiendo a la Ciudad de Buenos Aires se encuentran las demás ciudades con alta tasa poblacional y su consiguiente desarrollo urbano”.La especialista precisó que “la OMS recomienda que los niveles de ruido durante el día no excedan los 55 decibeles y un valor máximo nocturno de 40 decibeles, mientras que el mapa de ruido de la Ciudad de Buenos Aires evidencia que amplias zonas de la capital portan un nivel de ruido mayor a 75 decibeles"".Y añadió que ""debemos informarnos, cumplir y hacer cumplir las normas vigentes como la Ley de Control de la contaminación acústica (Ley 1540), y fomentar políticas educativas que promuevan conciencia social sobre las verdaderas consecuencias, muchas veces irreversibles, que genera la exposición al ruido”.De manera individual, la especialista instó a ""estar atentos al uso de dispositivos de audio, como los auriculares (cualquiera que sean) y teléfonos, sobre todo cuando estos se usan en ambientes ruidosos"". “Solemos usar auriculares o hablar por teléfono caminando por la ciudad e intentando tapar el ruido ambiente con el sonido del dispositivo, pasando inadvertido el daño que le podemos causar a nuestra audición con las altas intensidades”, explicó.Respecto a cuándo se debería hacer una consulta, la profesional indicó que lo ideal es asistir a un servicio de otorrinolaringología de forma periódica para monitorear el estado de nuestro sistema auditivo y así prevenir o detectar tempranamente cualquier alteración.“Por otro lado, es conveniente realizar una consulta cuanto antes en el caso de detectar alguno de los síntomas antes mencionados. Entre ellos se destacan el zumbido en los oídos y la disminución en la inteligibilidad del habla en ambientes adversos. La discriminación auditiva es la primera en afectarse cuando nos exponemos al ruido, ya que las frecuencias agudas --con mayor influencia en la discriminación-- son las que reciben el mayor impacto”, concluyó.",Sociedad
El censo reportó casi 3 mil personas que duermen en la vía pública y 273.883 en viviendas colectivas,Los que viven en la Argentina sin tener un hogar,A partir de los datos provisorios del Censo realizado el año pasado se puso en evidencia que hay 2.962 personas que duermen en la vía pública y unas 273.883 que se encuentran en paradores o refugios. Esta es la primera vez que se realizó un operativo específico para contabilizar a las personas que no viven en una vivienda particular. ,Sociedad
"La menstruación, sus tabúes, y un debate sobre la viralización de una mancha roja","La campaña de una marca de tampones en la televisión, con beneficios sociales y marquetineros","La viralización de la mancha roja en el pantalón blanco, inmaculado, de la modelo e influencer Sofía “Jujuy” Jiménez --que se vio este martes en el magazine que conduce Georgina Barbarossa por Telefé— abrió en la pantalla chica y en redes sociales una conversación sobre la menstruación y sus tabúes, un tema que los feminismos vienen impulsando en el país en la agenda política y mediática hace varios años. El episodio que se mostró como un “percance” al aire resultó una actuación como parte de “una campaña de concientización” (¿o marketing?) de la marca de tampones y toallitas íntimas Kotex, tal como habían advertido algunas voces desde un principio en Twitter, teniendo en cuenta el antecedente de Perú, donde meses atrás la cantante y actriz Amy Gutiérrez había protagonizado una escena similar a la de Jujuy. La pregunta que queda latente es: ¿A quién le sirve este tipo de campaña?",Sociedad
"La marcha anual a lago Escondido no pudo pasar, frenada con piedras y gas pimienta",Otra columna avanza por caminos de montaña ,"Los organizadores de la Séptima Marcha por la Soberanía hacia el lago Escondido desde El Bolsón denunciaron que este miércoles nueve manifestantes y una fotoperiodista fueron interceptados violentamente por peones rurales que responderían al magnate británico Joe Lewis, luego de que intentaran ingresar por el Camino de Tacuifí al polémico lago Escondido. Hubo además dos manifestantes heridos a piedrazos. ",Sociedad
Brutalidad policial en Estados Unidos: efectivos asesinan a un hombre en silla de ruedas,Impactantes imágenes,"Anthony Lowe, un hombre de 36 años con doble amputación de sus piernas, fue asesinado por la Policía, de al menos ocho disparos, en Huntington Beach, California. La familia del joven reclama justicia y pide que se esclarezca lo ocurrido.",Sociedad
Corrió desnudo por Avenida del Libertador y terminó detenido,El insólito hecho ocurrió en el barrio porteño de Núñez,"Un hombre de 28 años causó este miércoles un revuelo en las calles de la ciudad de Buenos Aires, cuando fue visto corriendo desnudo en Avenida del Libertador, en el barrio de Núñez. La policía lo persiguió hasta detenerlo.",Sociedad
Violación grupal de Palermo: rechazaron la excarcelación de uno de los acusados ,El 28 de febrero se cumplirá un año del hecho,"Este martes le fue negada la prisión domiciliaria a Steven Alexis Cuzzoni, uno de los seis imputados de la violación grupal en el barrio Palermo ocurrida el pasado 28 de febrero de 2022. La Sala de Feria de la Cámara de Casación de la Ciudad de Buenos Aires ratificó la decisión que había efectuado en enero el  Tribunal Oral en lo Criminal y Correccional N°14, a cargo del juicio. ",Sociedad
"Fotomultas en CABA: una por una, dónde están ubicadas las nuevas cámaras",El mapa completo en la Ciudad,"A partir de este miércoles 1° de febrero el Gobierno de la Ciudad de Buenos Aires comenzó a implementar las fotomultas con nuevas cámaras que filmarán de frente al conductor para controlar la falta de cinturón de seguridad, uso del celular y giros indebidos.",Sociedad
Quiénes eran los argentinos que murieron en el micro que volcó en Brasil,En el accidente también fallecieron dos brasileños,"En las últimas horas se dio a conocer la identidad de los argentinos que fallecieron este martes en Brasil, cuando el micro en el que viajaban desde Florianópolis hacia Foz de Iguazú volcó y cayó en un barranco.",Sociedad
Declaración jurada prepagas: cómo completar el formulario para pagar un aumento menor,Comienzan a regir los descuentos,"A partir de febrero, según estableció la Superintendencia de Servicios de Salud, los aumentos de las cuotas de las empresas de medicina prepaga tendrán un tope. Para acceder a este beneficio, los interesados completar un formulario online que estará habilitado hasta el 20 de cada mes. ",Sociedad
"Tigre, Municipio comprometido en la lucha contra la violencia de género",,"El Municipio de Tigre está comprometido en la lucha contra la violencia de género. En pos de esa premisa, el intendente Julio Zamora promulgó diversas y efectivas políticas públicas que tienen como destinatarias a las mujeres y personas LGBTIQ+.Dentro de la Secretaría se encuentra la Dirección de Mujeres, Géneros y Diversidad que se caracteriza por brindar asistencia, contención, asesoramiento y acompañamiento a todas aquellas mujeres que han transitado una situación de violencia por razones de género y que de forma voluntaria deciden acercarse o tomar contacto.La Dirección cuenta con personal especializado que una vez tomado el primer contacto, contienen en situaciones de violencia pasadas o actuales, asesoran sobre medidas cautelares, gestionan ingreso a hogares para quienes requieren un resguardo temporal, ingresan a programas provinciales o nacionales para facilitar ingreso económico, incorporan a espacios y salidas de esparcimiento.Además, realizan la instalación de Alerta Tigre Género en sus dispositivos celulares para casos de riesgo medio, y se les hace entrega del dispositivo Dama en los casos de alto riesgo. Estos últimos tres dispositivos están coordinados con la Subsecretaría de Protección Ciudadana que es quien recibe las alertas para luego intervenir ante la solicitud de alguna usuaria.",Sociedad
Efemérides de hoy: qué pasó un 1º de febrero,Hechos que ocurrieron en la Argentina y el mundo,En las efemérides del 1º de febrero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:,Sociedad
Península Valdés: continúa la limpieza de residuos de la industria pesquera en las playas,En la recorridas por la zona de Punta Quiroga detectaron también residuos urbanos,"En Chubut, identificaron más residuos provenientes de la actividad pesquera, principalmente cajones y sogas, en un área de alrededor de cuatro kilómetros de las playas de Península Valdés, como parte de la tarea de extracción de residuos urbanos y de la industria pesquera.",Sociedad
Entre Ríos: buscan a un hombre acusado de violar a una nena y matar a un familiar tras ser denunciado,"Los ataques a la chica, de 12 años, y su familia ocurrieron en un barrio de Concordia","En Entre Ríos, un joven de 18 años es buscado en la ciudad de Concordia y sus cercanías y la región, acusado de amenazar a una niña de 12 años con un arma y abusar sexualmente de ella, y, luego, de asesinar a un pariente de ella cuando la familia radicó la denuncia por la agresión contra la chiquita.",Sociedad
Canadá: una provincia despenalizó  la posesión de drogas duras como heroína y fentanilo ,"La medida, que regirá durante tres años, busca reducir la cantidad de muertes por opiáceos","Una provincia del oeste de Canadá despenalizó la posesión de pequeñas cantidades de heroína, fentanilo y otras drogas duras, en un cambio drástico en la política oficial para tratar de detener la crisis de los opiáceos, que causó miles de muertes en el país.",Sociedad
"Por problemas de salud, Lautaro Teruel recibió la prisión domiciliaria y volvió a su casa",El hijo de uno de Los Nocheros está condenado a 12 años de prisión por abuso sexual ,"En octubre de 2021, Lautaro Teruel -hijo de Mario, integrante de Los Nocheros- fue condenado a 12 años de prisión por dos casos de abuso sexual, uno de ellos de una menor de edad. ",Sociedad
La Justicia aceptó un amparo ambientalista y frenó la ampliación del vertedero de Luján,Nada de agrandar el basural,"La Cámara Federal de La Plata frenó la obra de ampliación de un basural a cielo abierto en la localidad bonaerense de Luján, en el marco de una acción de amparo presentada por organizaciones ambientalistas. No obstante, los magistrados declararon la ""incompetencia territorial"" del Juzgado Federal de Quilmes en la causa, y ordenaron remitir el expediente a un juzgado lujanense.",Sociedad
Roma: hallaron una escultura de tamaño natural de Hércules en una alcantarilla,La pieza de mármol fue creada entre el 27 a.C. y el 476 d.C.,"Una estatua de mármol de Hércules de tamaño natural fue descubierta en el parque Appia Antica de Roma, Italia, durante las obras de reparación de unas tuberías alcantarillas. Según precisaron los arqueólogos, la escultura del antiguo personaje mitológico fue creada entre el 27 a.C. y el 476 d.C. ",Sociedad
Caso Lucio Dupuy: Los debates en torno a la responsabilidad institucional del crimen,Cuando faltan pocas horas para que el tribunal informe sobre la responsabilidad de las acusadas,"El juicio por el asesinato de Lucio Dupuy tendrá su sentencia este jueves cuando la justicia pampeana determine la autoría y responsabilidad penal de la madre del niño, Magdalena Espósito Valenti, y de su pareja, Abigail Páez. Esto es, si son culpables o no las acusadas por el crimen del niño de cinco años. El caso conmueve no solo por la tragedia de esta muerte niña. Sino, y quizá más aún, porque expone los abusos en las relaciones intrafamiliares, y la violencia infantil que, pudiendo prevenirse, pasó inadvertida para los adultos que asistieron a Lucio en más de una oportunidad, en la ciudad de Santa Rosa, en La Pampa. Allí ocurrió el homicidio, en noviembre de 2021.",Sociedad
Femicidio: detenido en Corrientes,Un hombre acusado de quemar a su pareja,"Un hombre quedó detenido con prisión preventiva como acusado del femicidio de su pareja, una técnica de laboratorio que murió el domingo tras sufrir quemaduras en el 80 por ciento del cuerpo durante una discusión en su vivienda de la ciudad de Corrientes, informaron ayer fuentes judiciales.",Sociedad
"Fue de vacaciones a Pinamar y su encuentro con una araña gigante se volvió viral: ""Eso tiene DNI y tributa en AFIP""",En Twitter hubo reacciones de todo tipo,Una mujer se volvió viral este martes luego de que publicara la foto de una araña gigante que se encontró en el lugar que eligió para pasar las vacaciones en la ciudad balnearia de Pinamar.,Sociedad
Censo 2022: 4 datos claves sobre la población argentina,El INDEC difundió los resultados provisionales,"El Instituto Nacional de Estadística y Censos (Indec) presentó este martes los resultados provisionales del Censo Nacional de Población, Hogares y Viviendas 2022, realizado el 18 de mayo del año pasado, el primero que incluyó la opción de completarlo de manera digital. ",Sociedad
El balance de niños muertos en Pakistán llegó a 49,El naufragio de un barco sobrecargado en una represa,"El balance de muertos en el naufragio ocurrido el pasado domingo en una represa de Pakistán aumentó a 51, todos niños de entre 7 y 14 años salvo dos adultos, informó la policía local. Los equipos de rescate pasaron tres días trabajando en aguas heladas de una represa para recuperar los cuerpos de los 49 alumnos de una escuela coránica (madrasa), así como el de un profesor y un capitán. ""Hoy los buzos han podido sumergirse profundamente para recuperar los cuerpos restantes"", dijo Khateer Ahmad, un responsable del servicio Rescate 1122. Además, detalló que ""más de 25 buzos participaron en la misión de rescate, incluidos los buzos del Ejército"". ""La embarcación estaba sobrecargada, su capacidad era de entre 20 y 25 personas"", señaló el portavoz de la policía local, Fazal Naeem.El naufragio ocurrió en la represa Tanda Dam, cerca de Kohat, en la provincia de Khyber Pakhtunkhwa.",Sociedad
Un policía de la Federal disparó contra tres aspirantes de la misma fuerza,La brutal agresión estuvo dirigida a su expareja,"Una aspirante de la Policía Federal Argentina (PFA) fue herida de gravedad hoy en el barrio porteño de Agronomía al ser atacada a balazos por su expareja, un integrante de la misma fuerza que además causó heridas a otros dos compañeros de la víctima y que, según un testigo, reconoció haber disparado.",Sociedad
Australia en máxima alerta por una pequeñísima pero potencialmente mortal cápsula radioactiva,Se perdió cuando era transportada por un camión en una extensa ruta,"6 milímetros de diámetro y solo 8 milímetros de alto. Ese es el tamaño de una cápsula que buscan las cuatro agencias de emergencia de Australia. Es que ese pequeñísmo elemento (la mitad de una moneda) es potencialmente mortal: conserva una “pequeña cantidad” de la sustancia radiactiva Cesio-137. Su hallazo parece ser más díficil que encontrar una aguja en un pajar, no solo por su ínfimo tamaño sino que la cápsula se extravió de un camión que recorría una ruta de ¡1.300 kilómetros!",Sociedad
Feriados Carnaval 2023: las mejores playas cerca de CABA,Opciones para todos los bolsillos,"El verano invita a pasar tiempo al aire libre, en un entorno rodeado de verde o un espejo de agua para refrescar el cuerpo. Para las y los porteños que buscan algunos días de desconexión para los feriados del Carnaval 2023, los municipios bonaerenses de Berisso, Ensenada, Punta Indio y Magdalena son una excelente opción a pocos kilómetros de la Ciudad de Buenos Aires.",Sociedad
"Requisitos para ingresar a Brasil 2023: documentación, vacunas y PCR",Cuidados para prevenir la fiebre amarilla y la diarrea,Las vacaciones de verano en Brasil volvieron a ser una posibilidad para miles de turistas argentinos este 2023 luego de la pandemia del coronavirus en ese país. ,Sociedad
Nuevo Certificado Único de Discapacidad: todos los cambios y cómo tramitarlo,Será más fácil su tramitación y renovación,"El Gobierno nacional confirmó este lunes en el Boletín Oficial una serie de modificaciones sobre el Certificado Único de Discapacidad (CUD). El objetivo, plantean, es que con estos nuevos certificados se pueda “simplificar y optimizar” tanto su tramitación como renovación.",Sociedad
Efemérides de hoy: qué pasó un 31 de enero,Hechos que ocurrieron en la Argentina y el mundo,En las efemérides del 31 de enero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:,Sociedad
Los resquicios de una ley española sobre la violencia sexual,"El Gobierno español prometió enmendar los errores de la ley ""Solo sí es sí"" que permitieron a varios condenados obtener reducción de penas y la excarcelación","El gobierno de izquierda de España anunció este lunes que pretende modificar su ley sobre la violencia sexual contra las mujeres, para cerrar resquicios legales que han permitido rebajas de pena o excarcelaciones de algunos agresores.",Sociedad
Dos muertos y cinco heridos luego de un choque frontal en la ruta 11,Un micro de pasajeros impactó contra un auto a la altura de Pipinas,Dos personas murieron y otras dos resultaron heridas en la mañana del lunes al chocar frontalmente un micro de larga distancia y un auto en la ruta provincial 11 en la localidad bonaerense de Pipinas. ,Sociedad
Mejoraron la calidad del agua y el aire de la cuenca Matanza-Riachuelo,"Informe de Acumar sobre calidad de agua, hábitat, biodiversidad y aire ","En la cuenca hídrica Matanza-Riachuelo, mejoraron la calidad del agua y del aire, indicó el último informe técnico de la autoridad de la zona, Acumar. El estudio se realizó a partir de datos de calidad de agua, hábitat, biodiversidad y aire de la región recogidos por el organismo en 2022.",Sociedad
Alzheimer: un hallazgo podría permitir la detección temprana,Investigación de un equipo de científicos del King's College desarrollaron un estudio en base al análisis de sangre,"Científicos desarrollaron un análisis de sangre que busca predecir el riesgo de padecer la enfermedad de Alzheimer hasta 3,5 años antes del diagnóstico clínico, según un estudio del Instituto de Psiquiatría, Psicología y Neurociencia del King's College, de Londres, publicado en la revista científica Brain. ",Sociedad
